time,file,replicate,Nsurv,unit_ai,M_number,Mixture_abcSorted,formulation,spiroxamine,prothioconazole,tebuconazole,trifloxystrobin,bixafen,fluopyram,Psurv
72,1,r_f1_4,20,μg/L,M-006243-01-1,spiroxamine,1780,1740,0,0,0,0,0,1
96,1,r_f1_4,20,μg/L,M-006243-01-1,spiroxamine,1780,1740,0,0,0,0,0,1
0,2,r_f2_2,20,μg/L,M-006610-01-1,spiroxamine,3160,1550,0,0,0,0,0,1
4,2,r_f2_2,20,μg/L,M-006610-01-1,spiroxamine,3160,1550,0,0,0,0,0,1
24,2,r_f2_2,20,μg/L,M-006610-01-1,spiroxamine,3160,1550,0,0,0,0,0,1
48,2,r_f2_2,20,μg/L,M-006610-01-1,spiroxamine,3160,1550,0,0,0,0,0,1
72,2,r_f2_2,20,μg/L,M-006610-01-1,spiroxamine,3160,1550,0,0,0,0,0,1
96,2,r_f2_2,20,μg/L,M-006610-01-1,spiroxamine,3160,1550,0,0,0,0,0,1
0,2,r_f2_4,20,μg/L,M-006610-01-1,spiroxamine,10000,4920,0,0,0,0,0,1
4,2,r_f2_4,20,μg/L,M-006610-01-1,spiroxamine,10000,4920,0,0,0,0,0,1
24,2,r_f2_4,20,μg/L,M-006610-01-1,spiroxamine,10000,4920,0,0,0,0,0,1
48,2,r_f2_4,20,μg/L,M-006610-01-1,spiroxamine,10000,4920,0,0,0,0,0,1
72,2,r_f2_4,20,μg/L,M-006610-01-1,spiroxamine,10000,4920,0,0,0,0,0,1
96,2,r_f2_4,20,μg/L,M-006610-01-1,spiroxamine,10000,4920,0,0,0,0,0,1
0,2,r_f2_7,20,μg/L,M-006610-01-1,spiroxamine,56200,27700,0,0,0,0,0,1
4,2,r_f2_7,20,μg/L,M-006610-01-1,spiroxamine,56200,27700,0,0,0,0,0,1
24,2,r_f2_7,20,μg/L,M-006610-01-1,spiroxamine,56200,27700,0,0,0,0,0,1
48,2,r_f2_7,20,μg/L,M-006610-01-1,spiroxamine,56200,27700,0,0,0,0,0,1
72,2,r_f2_7,20,μg/L,M-006610-01-1,spiroxamine,56200,27700,0,0,0,0,0,1
96,2,r_f2_7,20,μg/L,M-006610-01-1,spiroxamine,56200,27700,0,0,0,0,0,1
0,2,r_f2_5,20,μg/L,M-006610-01-1,spiroxamine,17800,8760,0,0,0,0,0,1
4,2,r_f2_5,20,μg/L,M-006610-01-1,spiroxamine,17800,8760,0,0,0,0,0,1
24,2,r_f2_5,20,μg/L,M-006610-01-1,spiroxamine,17800,8760,0,0,0,0,0,1
48,2,r_f2_5,20,μg/L,M-006610-01-1,spiroxamine,17800,8760,0,0,0,0,0,1
72,2,r_f2_5,20,μg/L,M-006610-01-1,spiroxamine,17800,8760,0,0,0,0,0,1
96,2,r_f2_5,20,μg/L,M-006610-01-1,spiroxamine,17800,8760,0,0,0,0,0,1
0,2,r_f2_1,20,μg/L,M-006610-01-1,spiroxamine,0,0,0,0,0,0,0,1
4,2,r_f2_1,20,μg/L,M-006610-01-1,spiroxamine,0,0,0,0,0,0,0,1
24,2,r_f2_1,20,μg/L,M-006610-01-1,spiroxamine,0,0,0,0,0,0,0,1
48,2,r_f2_1,20,μg/L,M-006610-01-1,spiroxamine,0,0,0,0,0,0,0,1
72,2,r_f2_1,20,μg/L,M-006610-01-1,spiroxamine,0,0,0,0,0,0,0,1
96,2,r_f2_1,20,μg/L,M-006610-01-1,spiroxamine,0,0,0,0,0,0,0,1
0,2,r_f2_6,20,μg/L,M-006610-01-1,spiroxamine,31600,15500,0,0,0,0,0,1
4,2,r_f2_6,20,μg/L,M-006610-01-1,spiroxamine,31600,15500,0,0,0,0,0,1
24,2,r_f2_6,20,μg/L,M-006610-01-1,spiroxamine,31600,15500,0,0,0,0,0,1
48,2,r_f2_6,20,μg/L,M-006610-01-1,spiroxamine,31600,15500,0,0,0,0,0,1
72,2,r_f2_6,20,μg/L,M-006610-01-1,spiroxamine,31600,15500,0,0,0,0,0,1
96,2,r_f2_6,20,μg/L,M-006610-01-1,spiroxamine,31600,15500,0,0,0,0,0,1
0,2,r_f2_3,20,μg/L,M-006610-01-1,spiroxamine,5620,2770,0,0,0,0,0,1
4,2,r_f2_3,20,μg/L,M-006610-01-1,spiroxamine,5620,2770,0,0,0,0,0,1
24,2,r_f2_3,20,μg/L,M-006610-01-1,spiroxamine,5620,2770,0,0,0,0,0,1
48,2,r_f2_3,20,μg/L,M-006610-01-1,spiroxamine,5620,2770,0,0,0,0,0,1
72,2,r_f2_3,20,μg/L,M-006610-01-1,spiroxamine,5620,2770,0,0,0,0,0,1
96,2,r_f2_3,20,μg/L,M-006610-01-1,spiroxamine,5620,2770,0,0,0,0,0,1
0,3,r_f3_3,20,μg/L,M-015215-01-1,prothioconazole,1170,0,1150,0,0,0,0,1
4,3,r_f3_3,20,μg/L,M-015215-01-1,prothioconazole,1170,0,1150,0,0,0,0,1
24,3,r_f3_3,20,μg/L,M-015215-01-1,prothioconazole,1170,0,1150,0,0,0,0,1
48,3,r_f3_3,20,μg/L,M-015215-01-1,prothioconazole,1170,0,1150,0,0,0,0,1
72,3,r_f3_3,20,μg/L,M-015215-01-1,prothioconazole,1170,0,1150,0,0,0,0,1
96,3,r_f3_3,20,μg/L,M-015215-01-1,prothioconazole,1170,0,1150,0,0,0,0,1
0,3,r_f3_1,20,μg/L,M-015215-01-1,prothioconazole,0,0,0,0,0,0,0,1
4,3,r_f3_1,20,μg/L,M-015215-01-1,prothioconazole,0,0,0,0,0,0,0,1
24,3,r_f3_1,20,μg/L,M-015215-01-1,prothioconazole,0,0,0,0,0,0,0,1
48,3,r_f3_1,20,μg/L,M-015215-01-1,prothioconazole,0,0,0,0,0,0,0,1
72,3,r_f3_1,20,μg/L,M-015215-01-1,prothioconazole,0,0,0,0,0,0,0,1
96,3,r_f3_1,20,μg/L,M-015215-01-1,prothioconazole,0,0,0,0,0,0,0,1
0,3,r_f3_2,20,μg/L,M-015215-01-1,prothioconazole,0,0,0,0,0,0,0,1
4,3,r_f3_2,20,μg/L,M-015215-01-1,prothioconazole,0,0,0,0,0,0,0,1
24,3,r_f3_2,20,μg/L,M-015215-01-1,prothioconazole,0,0,0,0,0,0,0,1
48,3,r_f3_2,20,μg/L,M-015215-01-1,prothioconazole,0,0,0,0,0,0,0,1
72,3,r_f3_2,20,μg/L,M-015215-01-1,prothioconazole,0,0,0,0,0,0,0,1
96,3,r_f3_2,20,μg/L,M-015215-01-1,prothioconazole,0,0,0,0,0,0,0,1
0,3,r_f3_7,20,μg/L,M-015215-01-1,prothioconazole,9000,0,8860,0,0,0,0,1
4,3,r_f3_7,20,μg/L,M-015215-01-1,prothioconazole,9000,0,8860,0,0,0,0,1
24,3,r_f3_7,0,μg/L,M-015215-01-1,prothioconazole,9000,0,8860,0,0,0,0,0
48,3,r_f3_7,0,μg/L,M-015215-01-1,prothioconazole,9000,0,8860,0,0,0,0,0
72,3,r_f3_7,0,μg/L,M-015215-01-1,prothioconazole,9000,0,8860,0,0,0,0,0
96,3,r_f3_7,0,μg/L,M-015215-01-1,prothioconazole,9000,0,8860,0,0,0,0,0
0,3,r_f3_5,20,μg/L,M-015215-01-1,prothioconazole,3240,0,3190,0,0,0,0,1
4,3,r_f3_5,20,μg/L,M-015215-01-1,prothioconazole,3240,0,3190,0,0,0,0,1
24,3,r_f3_5,2,μg/L,M-015215-01-1,prothioconazole,3240,0,3190,0,0,0,0,0.1
48,3,r_f3_5,0,μg/L,M-015215-01-1,prothioconazole,3240,0,3190,0,0,0,0,0
72,3,r_f3_5,0,μg/L,M-015215-01-1,prothioconazole,3240,0,3190,0,0,0,0,0
96,3,r_f3_5,0,μg/L,M-015215-01-1,prothioconazole,3240,0,3190,0,0,0,0,0
0,3,r_f3_4,20,μg/L,M-015215-01-1,prothioconazole,1940,0,1910,0,0,0,0,1
4,3,r_f3_4,20,μg/L,M-015215-01-1,prothioconazole,1940,0,1910,0,0,0,0,1
24,3,r_f3_4,19,μg/L,M-015215-01-1,prothioconazole,1940,0,1910,0,0,0,0,0.95
48,3,r_f3_4,12,μg/L,M-015215-01-1,prothioconazole,1940,0,1910,0,0,0,0,0.6
72,3,r_f3_4,12,μg/L,M-015215-01-1,prothioconazole,1940,0,1910,0,0,0,0,0.6
96,3,r_f3_4,12,μg/L,M-015215-01-1,prothioconazole,1940,0,1910,0,0,0,0,0.6
0,3,r_f3_6,20,μg/L,M-015215-01-1,prothioconazole,5400,0,5310,0,0,0,0,1
4,3,r_f3_6,20,μg/L,M-015215-01-1,prothioconazole,5400,0,5310,0,0,0,0,1
24,3,r_f3_6,0,μg/L,M-015215-01-1,prothioconazole,5400,0,5310,0,0,0,0,0
48,3,r_f3_6,0,μg/L,M-015215-01-1,prothioconazole,5400,0,5310,0,0,0,0,0
72,3,r_f3_6,0,μg/L,M-015215-01-1,prothioconazole,5400,0,5310,0,0,0,0,0
96,3,r_f3_6,0,μg/L,M-015215-01-1,prothioconazole,5400,0,5310,0,0,0,0,0
0,4,r_f4_3,10,μg/L,M-019295-01-1,spiroxamine,37500,11700,0,0,0,0,0,1
4,4,r_f4_3,10,μg/L,M-019295-01-1,spiroxamine,37500,11700,0,0,0,0,0,1
24,4,r_f4_3,10,μg/L,M-019295-01-1,spiroxamine,37500,11700,0,0,0,0,0,1
48,4,r_f4_3,10,μg/L,M-019295-01-1,spiroxamine,37500,11700,0,0,0,0,0,1
72,4,r_f4_3,10,μg/L,M-019295-01-1,spiroxamine,37500,11700,0,0,0,0,0,1
96,4,r_f4_3,10,μg/L,M-019295-01-1,spiroxamine,37500,11700,0,0,0,0,0,1
0,4,r_f4_2,10,μg/L,M-019295-01-1,spiroxamine,18800,5830,0,0,0,0,0,1
4,4,r_f4_2,10,μg/L,M-019295-01-1,spiroxamine,18800,5830,0,0,0,0,0,1
24,4,r_f4_2,10,μg/L,M-019295-01-1,spiroxamine,18800,5830,0,0,0,0,0,1
48,4,r_f4_2,10,μg/L,M-019295-01-1,spiroxamine,18800,5830,0,0,0,0,0,1
72,4,r_f4_2,10,μg/L,M-019295-01-1,spiroxamine,18800,5830,0,0,0,0,0,1
96,4,r_f4_2,10,μg/L,M-019295-01-1,spiroxamine,18800,5830,0,0,0,0,0,1
0,4,r_f4_4,10,μg/L,M-019295-01-1,spiroxamine,75000,23300,0,0,0,0,0,1
4,4,r_f4_4,10,μg/L,M-019295-01-1,spiroxamine,75000,23300,0,0,0,0,0,1
24,4,r_f4_4,10,μg/L,M-019295-01-1,spiroxamine,75000,23300,0,0,0,0,0,1
48,4,r_f4_4,10,μg/L,M-019295-01-1,spiroxamine,75000,23300,0,0,0,0,0,1
72,4,r_f4_4,10,μg/L,M-019295-01-1,spiroxamine,75000,23300,0,0,0,0,0,1
96,4,r_f4_4,10,μg/L,M-019295-01-1,spiroxamine,75000,23300,0,0,0,0,0,1
0,4,r_f4_6,10,μg/L,M-019295-01-1,spiroxamine,300000,93300,0,0,0,0,0,1
4,4,r_f4_6,10,μg/L,M-019295-01-1,spiroxamine,300000,93300,0,0,0,0,0,1
24,4,r_f4_6,0,μg/L,M-019295-01-1,spiroxamine,300000,93300,0,0,0,0,0,0
